Date,VixPercentage,VIX,Vix20Days,Vix60Days,Vix120 ,RVXPercentage,RVX,RVX20Days,RVX60Days,RVX120Days,VXDPercentage,VXD,VXD20Days,VXD60Days,VXD120Days,SPYPercentage,SPY,SPY20Days,SPY60Days,SPY120Days,RUTPercentage,RUT,RUT20Days,RUT60Days,RUT120Days,DJIPercentage,DJI,DJI20Days,DJI60Days,DJI120Days,VTIIPercentage,VTI,VTI20Days,VTI60Days,VTI120Days
1/3/05,5.944319037,0.05944319,0.0048209,0.000231418,0.001137717,7.617964753,0.076179648,0.004711626,-0.000698449,-0.00083522,3.153526971,0.03153527,0.002273433,0.000919363,0.000731769,-0.811942013,-0.00811942,0.0004701,0.001041753,0.000676088,-1.708182525,-0.017081825,-9.45084E-05,0.001617642,0.00117941,-0.497078735,-0.004970787,0.000656784,0.000985234,0.000436451,-0.711623179,-0.007116232,0.000375792,0.001154036,0.000774749
1/4/05,-0.710227273,-0.007102273,0.003578441,-0.000519137,0.000503192,3.328050713,0.033280507,0.003065149,-0.000411805,-0.000516942,0.241351569,0.002413516,0.000702689,-0.000139167,0.000435506,-1.167135924,-0.011671359,-7.4849E-05,0.000878792,0.000614665,-1.8581013,-0.018581013,-0.000775977,0.001506779,0.00098854,-0.918970306,-0.009189703,0.000410192,0.000947623,0.000397093,-1.33105802,-0.01331058,-0.000255361,0.001069179,0.000684058
1/5/05,0.78683834,0.007868383,0.0021523,-1.14746E-05,0.00077837,1.431492843,0.014314928,0.00083657,0.000170502,-0.000356507,-6.019261637,-0.060192616,-0.002865601,0.000261,-2.34266E-05,-0.362784295,-0.003627843,0.000297426,0.000975022,0.000624341,-1.75963318,-0.017596332,-0.000597156,0.001158207,0.000940926,-0.310418783,-0.003104188,0.000759861,0.000851465,0.000390412,-0.691802145,-0.006918021,-0.000111066,0.000917047,0.000663847
1/6/05,-3.619588361,-0.036195884,0.002098175,-0.000999965,-5.59629E-06,-0.907258065,-0.009072581,0.001798512,-0.000609177,-0.000435871,6.063193851,0.060631939,0.0028495,0.000254446,5.2918E-05,0.350585858,0.003505859,0.000228889,0.001072843,0.000657264,0.378964027,0.00378964,-0.000859314,0.001245896,0.000983758,0.236841609,0.002368416,0.000621591,0.000898874,0.000447707,0.48763497,0.00487635,-6.70049E-05,0.00103507,0.000704483
1/7/05,-0.662739323,-0.006627393,0.002941938,-0.001520167,0.000488505,0.508646999,0.00508647,0.002495084,-0.000909804,-9.66699E-05,-2.012882448,-0.020128824,0.000967329,-0.000873468,0.000625271,-0.143117122,-0.001431171,-0.000114477,0.001284935,0.000586522,-1.066436211,-0.010664362,-0.001237258,0.001278835,0.000752777,-0.177917518,-0.001779175,0.00025343,0.000993098,0.000387475,-0.329289428,-0.003292894,-0.000465214,0.001102964,0.000619063
1/10/05,-1.927353595,-0.019273536,0.0024441,-0.002933048,-0.000989445,2.024291498,0.020242915,0.005396993,-0.001433431,-0.000613658,1.807723911,0.018077239,0.00412529,-0.002072913,-0.00056714,0.342277308,0.003422773,0.000108795,0.001109105,0.000726214,0.738730262,0.007387303,-0.001110267,0.00153484,0.001045052,0.160316862,0.001603169,0.000379074,0.001199442,0.000485407,0.399930447,0.003999304,-0.000204976,0.001318042,0.000792447
1/11/05,-0.302343159,-0.003023432,0.003154997,-0.001573416,-0.000679478,0.148809524,0.001488095,0.006589783,-0.000692255,-0.000777643,-3.712671509,-0.037126715,0.004028611,-0.000318734,-0.000535044,-0.609956732,-0.006099567,-0.000645681,0.001087931,0.000652835,-1.005271004,-0.01005271,-0.002070802,0.001233344,0.000992421,-0.610112042,-0.00610112,-0.000376983,0.001032233,0.00043108,-0.60616557,-0.006061656,-0.000982197,0.001123416,0.000713443
1/12/05,-4.776345716,-0.047763457,9.24858E-06,-0.002003782,-0.001474333,-0.792471521,-0.007924715,0.005747119,-0.00040423,-0.000836632,-4.86169321,-0.048616932,-0.001115759,-0.001259531,-0.00123883,0.398140393,0.003981404,-0.000642657,0.001105524,0.000766852,0.271445869,0.002714459,-0.002366873,0.00120219,0.0011262,0.583543321,0.005835433,-0.000264751,0.001091067,0.000552758,0.435615961,0.00435616,-0.000986421,0.001124661,0.000841233
1/13/05,2.229299363,0.022292994,0.002616436,-0.002108099,-0.001692598,1.397903145,0.013979031,0.007331026,-0.000390647,-0.001101173,4.49339207,0.044933921,0.000202667,-0.001443033,-0.001246949,-0.863012581,-0.008630126,-0.001171388,0.001199103,0.000711276,-0.499029174,-0.004990292,-0.003010303,0.001275189,0.001173321,-1.054832451,-0.010548325,-0.000862415,0.001013525,0.000465106,-0.763358779,-0.007633588,-0.001529638,0.001142631,0.000801543
1/14/05,-3.193146417,-0.031931464,0.001343749,-0.002331852,-0.001597422,-3.791235844,-0.037912358,0.006674147,-0.000659024,-0.001130335,-6.239460371,-0.062394604,0.001266864,-0.001992386,-0.00141173,0.60045601,0.00600456,-0.000767073,0.001317613,0.000678601,1.204657194,0.012046572,-0.001916153,0.0013742,0.00110001,0.496868397,0.004968684,-0.000679921,0.001114354,0.000403452,0.437062937,0.004370629,-0.001226361,0.001212358,0.000756391
